County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Erie,03/10/2021,1,0.6,390,269728,0.37,0.21,144.59,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Clarion,02/01/2021,0,0.4,78,38438,0,1.11,202.92,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Northampton,03/18/2021,2,1.3,672,305285,0.66,0.42,220.12,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Perry,01/11/2021,0,1.4,62,46272,0,3.09,133.99,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Clarion,03/26/2021,0,0.1,88,38438,0,0.37,228.94,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Fulton,03/22/2021,0,0,15,14530,0,0,103.23,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Erie,02/23/2021,1,0.7,381,269728,0.37,0.26,141.25,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Butler,11/21/2020,0,2.6,74,187853,0,1.37,39.39,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Blair,03/08/2021,0,0.3,309,121829,0,0.23,253.63,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Northampton,12/31/2020,6,4.9,465,305285,1.97,1.59,152.32,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Centre,03/21/2021,0,0,213,162385,0,0,131.17,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Philadelphia,05/20/2020,11,17.4,1393,1584064,0.69,1.1,87.94,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Delaware,03/05/2021,1,0.9,1258,566747,0.18,0.15,221.97,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Erie,01/07/2021,2,3.4,297,269728,0.74,1.27,110.11,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Blair,03/14/2021,0,0.3,311,121829,0,0.23,255.28,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Greene,02/13/2021,0,0,30,36233,0,0,82.8,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Washington,01/26/2021,2,3.9,223,206865,0.97,1.86,107.8,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Blair,02/10/2021,0,1.6,295,121829,0,1.29,242.14,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Huntingdon,01/30/2021,0,0,114,45144,0,0,252.53,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Erie,03/15/2021,0,0.6,391,269728,0,0.21,144.96,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Snyder,12/27/2020,1,0.4,44,40372,2.48,1.06,108.99,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Snyder,12/30/2020,0,0.7,47,40372,0,1.77,116.42,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Cumberland,03/12/2021,1,0.6,490,253370,0.39,0.23,193.39,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Perry,03/04/2021,0,0.1,86,46272,0,0.31,185.86,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Adams,03/23/2021,0,0.1,160,103009,0,0.14,155.33,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Venango,03/04/2021,2,0.6,87,50668,3.95,1.13,171.71,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Washington,02/13/2021,1,1.1,251,206865,0.48,0.55,121.34,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Northampton,02/11/2021,5,2.9,624,305285,1.64,0.94,204.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Northampton,01/02/2021,6,4.9,477,305285,1.97,1.59,156.25,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Luzerne,03/05/2021,0,0.7,744,317417,0,0.23,234.39,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Blair,02/13/2021,2,0.9,298,121829,1.64,0.7,244.61,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Bradford,03/21/2021,0,0.1,83,60323,0,0.24,137.59,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Tioga,02/14/2021,0,0.3,94,40591,0,0.7,231.58,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Bedford,03/22/2021,0,0,130,47888,0,0,271.47,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Venango,03/05/2021,0,0.6,87,50668,0,1.13,171.71,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Snyder,12/24/2020,1,0.6,43,40372,2.48,1.42,106.51,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Blair,02/24/2021,2,0.3,303,121829,1.64,0.23,248.71,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Elk,02/17/2021,0,0,35,29910,0,0,117.02,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Luzerne,03/04/2021,2,1,744,317417,0.63,0.32,234.39,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Northampton,02/12/2021,1,2.9,625,305285,0.33,0.94,204.73,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Northampton,02/13/2021,3,2.9,628,305285,0.98,0.94,205.71,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Huntingdon,12/29/2020,0,0.9,94,45144,0,1.9,208.22,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Potter,02/13/2021,0,0,20,16526,0,0,121.02,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Susquehanna,01/05/2021,2,0.4,42,40328,4.96,1.06,104.15,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Snyder,12/31/2020,0,0.6,47,40372,0,1.42,116.42,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Perry,04/02/2021,0,0.1,91,46272,0,0.31,196.66,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Venango,03/20/2021,0,0.1,90,50668,0,0.28,177.63,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Carbon,03/21/2021,0,0.1,156,64182,0,0.22,243.06,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Blair,03/09/2021,0,0.1,309,121829,0,0.12,253.63,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Jefferson,03/26/2021,0,0,91,43425,0,0,209.56,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Northampton,01/06/2021,3,5,494,305285,0.98,1.64,161.82,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Chester,03/10/2021,1,1.6,745,524989,0.19,0.3,141.91,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Northampton,12/29/2020,7,5.3,457,305285,2.29,1.73,149.7,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Northampton,03/01/2021,0,0.7,650,305285,0,0.23,212.92,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Blair,02/09/2021,0,2,295,121829,0,1.64,242.14,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Butler,12/06/2020,8,3.4,121,187853,4.26,1.83,64.41,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Venango,03/25/2021,0,0.1,90,50668,0,0.28,177.63,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Northampton,01/13/2021,3,4.1,523,305285,0.98,1.36,171.32,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Blair,02/12/2021,0,0.9,296,121829,0,0.7,242.96,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Forest,03/21/2021,0,0,21,7247,0,0,289.78,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Lehigh,03/12/2021,1,1.6,795,369318,0.27,0.43,215.26,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Blair,02/27/2021,0,0.7,306,121829,0,0.59,251.17,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Northampton,03/11/2021,1,1.1,663,305285,0.33,0.37,217.17,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Northampton,02/06/2021,3,3.1,608,305285,0.98,1.03,199.16,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Northampton,01/26/2021,5,3.1,571,305285,1.64,1.03,187.04,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Fulton,04/07/2021,0,0,15,14530,0,0,103.23,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Greene,02/14/2021,1,0.1,31,36233,2.76,0.39,85.56,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Forest,12/23/2020,1,0.3,5,7247,13.8,3.94,68.99,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Sullivan,02/03/2021,0,0.1,13,6066,0,2.36,214.31,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Northampton,02/20/2021,4,1.9,641,305285,1.31,0.61,209.97,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Snyder,01/14/2021,1,1.3,61,40372,2.48,3.18,151.09,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Snyder,01/15/2021,1,1.4,62,40372,2.48,3.54,153.57,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Northampton,12/21/2020,7,4.7,412,305285,2.29,1.54,134.96,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Snyder,12/28/2020,2,0.7,46,40372,4.95,1.77,113.94,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Venango,03/19/2021,1,0.1,90,50668,1.97,0.28,177.63,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Lehigh,03/16/2021,0,1,798,369318,0,0.27,216.07,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Somerset,01/23/2021,2,2,171,73447,2.72,2.72,232.82,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Philadelphia,04/16/2020,40,33,459,1584064,2.53,2.08,28.98,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Huntingdon,03/22/2021,0,0,126,45144,0,0,279.11,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Northampton,01/30/2021,1,3.9,586,305285,0.33,1.26,191.95,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Delaware,03/16/2021,1,1.3,1277,566747,0.18,0.23,225.32,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Northampton,01/15/2021,3,3.9,530,305285,0.98,1.26,173.61,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Juniata,03/25/2021,0,0,81,24763,0,0,327.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Mercer,12/19/2020,5,3.9,131,109424,4.57,3.52,119.72,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Washington,02/24/2021,1,0.4,261,206865,0.48,0.21,126.17,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Northampton,02/18/2021,2,1.7,636,305285,0.66,0.56,208.33,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Lehigh,03/17/2021,0,0.7,798,369318,0,0.19,216.07,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Wayne,02/13/2021,1,0.6,64,51361,1.95,1.11,124.61,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Union,12/28/2020,1,1.6,46,44923,2.23,3.5,102.4,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Mercer,02/08/2021,0,0.4,236,109424,0,0.39,215.67,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Butler,03/29/2021,0,0.4,386,187853,0,0.23,205.48,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Greene,02/04/2021,0,0,30,36233,0,0,82.8,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Luzerne,03/09/2021,1,0.9,747,317417,0.32,0.27,235.34,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Washington,01/28/2021,3,3.1,230,206865,1.45,1.52,111.18,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Erie,01/22/2021,1,2.6,340,269728,0.37,0.95,126.05,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Butler,11/20/2020,0,2.9,74,187853,0,1.52,39.39,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
McKean,03/22/2021,0,0,65,40625,0,0,160,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Snyder,01/13/2021,2,1.1,60,40372,4.95,2.83,148.62,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Northampton,03/03/2021,1,0.9,652,305285,0.33,0.28,213.57,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Perry,02/04/2021,0,0.4,80,46272,0,0.93,172.89,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,01/10/2021,2,1.4,62,46272,4.32,3.09,133.99,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Northampton,01/01/2021,6,5,471,305285,1.97,1.64,154.28,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Butler,12/02/2020,0,2.7,105,187853,0,1.44,55.89,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Northampton,03/07/2021,1,1.1,658,305285,0.33,0.37,215.54,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Butler,03/22/2021,0,0.3,383,187853,0,0.15,203.88,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Snyder,03/25/2021,0,0,82,40372,0,0,203.11,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Tioga,02/13/2021,1,0.3,94,40591,2.46,0.7,231.58,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Blair,03/18/2021,0,0.1,311,121829,0,0.12,255.28,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Forest,01/28/2021,1,0.3,20,7247,13.8,3.94,275.98,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Jefferson,03/21/2021,0,0,91,43425,0,0,209.56,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Butler,01/02/2021,7,8.1,267,187853,3.73,4.33,142.13,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Lehigh,03/19/2021,1,0.9,801,369318,0.27,0.23,216.89,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Elk,04/07/2021,0,0,37,29910,0,0,123.7,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Cumberland,03/09/2021,1,0.4,489,253370,0.39,0.17,193,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Northampton,02/27/2021,1,1.3,650,305285,0.33,0.42,212.92,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Washington,12/30/2020,2,2.7,145,206865,0.97,1.31,70.09,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Northampton,02/16/2021,3,2.6,634,305285,0.98,0.84,207.67,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Washington,01/18/2021,5,3.6,194,206865,2.42,1.73,93.78,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Erie,03/08/2021,0,0.1,387,269728,0,0.05,143.48,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Blair,02/25/2021,1,0.4,304,121829,0.82,0.35,249.53,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Pike,03/21/2021,0,0.3,50,55809,0,0.51,89.59,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Lackawanna,03/18/2021,1,0.3,431,209674,0.48,0.14,205.56,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Snyder,03/22/2021,0,0,82,40372,0,0,203.11,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Northampton,02/05/2021,1,2.9,605,305285,0.33,0.94,198.18,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Blair,02/19/2021,0,0.7,301,121829,0,0.59,247.07,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Sullivan,03/22/2021,0,0,20,6066,0,0,329.71,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Erie,03/17/2021,1,0.4,393,269728,0.37,0.16,145.7,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Mercer,12/28/2020,5,4.1,172,109424,4.57,3.79,157.19,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
York,01/27/2021,2,5,658,449058,0.45,1.11,146.53,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Fulton,02/14/2021,0,0.1,14,14530,0,0.98,96.35,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Northampton,02/26/2021,2,1.7,649,305285,0.66,0.56,212.59,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Montgomery,09/17/2020,0,0.7,882,830915,0,0.09,106.15,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
York,03/05/2021,3,1,737,449058,0.67,0.22,164.12,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Cameron,01/10/2021,1,0.4,6,4447,22.49,9.64,134.92,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Blair,03/07/2021,0,0.4,309,121829,0,0.35,253.63,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Northampton,02/24/2021,0,1.7,646,305285,0,0.56,211.61,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Chester,03/07/2021,1,1.9,742,524989,0.19,0.35,141.34,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Huntingdon,01/01/2021,0,0.4,94,45144,0,0.95,208.22,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Northampton,03/08/2021,2,1.4,660,305285,0.66,0.47,216.19,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Erie,01/24/2021,0,1.3,340,269728,0,0.48,126.05,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Blair,03/02/2021,1,1,308,121829,0.82,0.82,252.81,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Blair,03/21/2021,0,0,311,121829,0,0,255.28,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Juniata,03/29/2021,0,0,81,24763,0,0,327.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Jefferson,01/28/2021,0,0.3,81,43425,0,0.66,186.53,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Chester,01/24/2021,1,1.6,663,524989,0.19,0.3,126.29,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Erie,03/09/2021,2,0.4,389,269728,0.74,0.16,144.22,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Clarion,02/02/2021,0,0.3,78,38438,0,0.74,202.92,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Cameron,03/25/2021,0,0,6,4447,0,0,134.92,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Snyder,03/21/2021,0,0,82,40372,0,0,203.11,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Cameron,03/21/2021,0,0,6,4447,0,0,134.92,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Northampton,01/21/2021,6,4.4,558,305285,1.97,1.45,182.78,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Delaware,02/21/2021,1,2,1244,566747,0.18,0.35,219.5,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Mercer,04/06/2021,1,0.1,250,109424,0.91,0.13,228.47,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Clarion,02/05/2021,0,0.4,80,38438,0,1.11,208.13,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Fulton,02/15/2021,0,0.1,14,14530,0,0.98,96.35,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Washington,01/06/2021,0,2,159,206865,0,0.97,76.86,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Northampton,01/22/2021,0,4,558,305285,0,1.31,182.78,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Pennsylvania,03/30/2021,30,27.4,25263,12801989,0.23,0.21,197.34,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Northampton,02/04/2021,2,3.6,604,305285,0.66,1.17,197.85,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Juniata,03/22/2021,0,0,81,24763,0,0,327.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Washington,03/08/2021,1,0.7,270,206865,0.48,0.35,130.52,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Bedford,03/21/2021,0,0.1,130,47888,0,0.3,271.47,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Huntingdon,01/22/2021,0,1.4,114,45144,0,3.16,252.53,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Northampton,03/09/2021,1,1.4,661,305285,0.33,0.47,216.52,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Huntingdon,03/21/2021,0,0,126,45144,0,0,279.11,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Pennsylvania,04/18/2021,32,38,25921,12801989,0.25,0.3,202.48,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Westmoreland,04/01/2021,2,0.6,713,348899,0.57,0.16,204.36,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Chester,03/29/2021,1,0.3,757,524989,0.19,0.05,144.19,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Northampton,01/29/2021,6,3.9,585,305285,1.97,1.26,191.62,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Westmoreland,04/13/2021,0,1.1,725,348899,0,0.33,207.8,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Blair,03/19/2021,0,0.1,311,121829,0,0.12,255.28,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Northampton,02/25/2021,1,1.6,647,305285,0.33,0.51,211.93,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Northampton,03/13/2021,0,1.1,665,305285,0,0.37,217.83,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Berks,03/29/2021,0,0.7,932,421164,0,0.17,221.29,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Washington,03/23/2021,0,0.3,275,206865,0,0.14,132.94,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Westmoreland,03/23/2021,2,1,708,348899,0.57,0.29,202.92,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Pennsylvania,03/29/2021,22,27.6,25233,12801989,0.17,0.22,197.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Jefferson,03/22/2021,0,0,91,43425,0,0,209.56,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Pennsylvania,04/01/2021,30,28.3,25323,12801989,0.23,0.22,197.81,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Northampton,01/31/2021,3,4,589,305285,0.98,1.31,192.93,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Washington,02/08/2021,2,1.3,246,206865,0.97,0.62,118.92,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Blair,03/01/2021,1,0.9,307,121829,0.82,0.7,251.99,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Northampton,12/28/2020,3,5.4,450,305285,0.98,1.78,147.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Pennsylvania,04/13/2021,39,37.1,25738,12801989,0.3,0.29,201.05,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Blair,03/04/2021,0,0.7,309,121829,0,0.59,253.63,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Potter,03/21/2021,0,0.1,22,16526,0,0.86,133.12,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Butler,12/23/2020,4,6.1,196,187853,2.13,3.27,104.34,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Westmoreland,04/11/2021,2,1.1,723,348899,0.57,0.33,207.22,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Pennsylvania,04/21/2021,14,29.9,25985,12801989,0.11,0.23,202.98,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Blair,03/10/2021,1,0.1,310,121829,0.82,0.12,254.46,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Delaware,03/20/2021,2,0.9,1280,566747,0.35,0.15,225.85,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Northampton,01/09/2021,4,4.3,507,305285,1.31,1.4,166.07,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Erie,01/30/2021,1,1.4,350,269728,0.37,0.53,129.76,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Philadelphia,04/16/2021,8,7.4,3432,1584064,0.51,0.47,216.66,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Westmoreland,04/15/2021,1,1.6,730,348899,0.29,0.45,209.23,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Pennsylvania,04/22/2021,3,24.4,25988,12801989,0.02,0.19,203,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Washington,01/21/2021,6,4.7,208,206865,2.9,2.28,100.55,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Philadelphia,04/20/2020,34,40.3,627,1584064,2.15,2.54,39.58,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Philadelphia,04/17/2021,5,7.4,3437,1584064,0.32,0.47,216.97,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Blair,02/04/2021,3,2.9,287,121829,2.46,2.35,235.58,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Northampton,01/24/2021,2,3.6,561,305285,0.66,1.17,183.76,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Mercer,12/20/2020,5,4.3,136,109424,4.57,3.92,124.29,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Northampton,03/05/2021,0,0.9,655,305285,0,0.28,214.55,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Forest,01/25/2021,0,0.1,19,7247,0,1.97,262.18,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Blair,03/16/2021,0,0.3,311,121829,0,0.23,255.28,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Westmoreland,04/08/2021,2,0.9,719,348899,0.57,0.25,206.08,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
